=== Scene：Three-child policy ===
Training duration：1561.56 s

—— Two-dimensional prediction results ——
Year 2024.0, Age 0.0 -> P = 1.063e+07
Year 2025.0, Age 0.0 -> P = 1.120e+07
Year 2026.1, Age 0.0 -> P = 1.073e+07
Year 2027.1, Age 0.0 -> P = 1.059e+07
Year 2028.1, Age 0.0 -> P = 1.074e+07
Year 2029.2, Age 0.0 -> P = 1.005e+07
Year 2030.2, Age 0.0 -> P = 9.918e+06
Year 2031.2, Age 0.0 -> P = 9.236e+06
Year 2032.3, Age 0.0 -> P = 9.180e+06
Year 2033.3, Age 0.0 -> P = 9.132e+06
Year 2034.3, Age 0.0 -> P = 9.071e+06
Year 2035.4, Age 0.0 -> P = 8.384e+06
Year 2036.4, Age 0.0 -> P = 8.066e+06
Year 2037.4, Age 0.0 -> P = 8.420e+06
Year 2038.5, Age 0.0 -> P = 8.058e+06
Year 2039.5, Age 0.0 -> P = 6.600e+06
Year 2040.6, Age 0.0 -> P = 6.128e+06
Year 2041.6, Age 0.0 -> P = 6.170e+06
Year 2042.6, Age 0.0 -> P = 5.573e+06
Year 2043.7, Age 0.0 -> P = 5.479e+06
Year 2044.7, Age 0.0 -> P = 4.904e+06
Year 2045.7, Age 0.0 -> P = 4.558e+06
Year 2046.8, Age 0.0 -> P = 4.353e+06
Year 2047.8, Age 0.0 -> P = 4.264e+06
Year 2048.8, Age 0.0 -> P = 3.916e+06
Year 2049.9, Age 0.0 -> P = 3.954e+06
Year 2050.9, Age 0.0 -> P = 4.672e+06
Year 2051.9, Age 0.0 -> P = 4.130e+06
Year 2053.0, Age 0.0 -> P = 4.286e+06
Year 2054.0, Age 0.0 -> P = 4.365e+06
Year 2024.0, Age 1.0 -> P = 5.129e+06
Year 2025.0, Age 1.0 -> P = 4.983e+06
Year 2026.1, Age 1.0 -> P = 5.161e+06
Year 2027.1, Age 1.0 -> P = 5.252e+06
Year 2028.1, Age 1.0 -> P = 4.927e+06
Year 2029.2, Age 1.0 -> P = 5.511e+06
Year 2030.2, Age 1.0 -> P = 5.863e+06
Year 2031.2, Age 1.0 -> P = 5.784e+06
